title,ratings,imdb_rating,imdb_votes,value,metascore,language,short_plot,poster,awards
Really Love,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",6.2,"1,162",,,English,"Set in contemporary Washington D.C., a rising black painter strives to break into the competitive art world, while balancing a bittersweet romance he never expected.",https://m.media-amazon.com/images/M/MV5BZWQ5NDg4M2ItMGQ1Ni00Y2Q1LWFiNWYtNDJmMmY4OTNiMWNjXkEyXkFqcGc@._V1_SX300.jpg,
The November Man,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",6.3,"72,339",,38.0,"English, Russian",An ex-C.I.A. operative is brought back in on a very personal mission and finds himself pitted against his former pupil in a deadly game involving high-level C.I.A. officials and the Russian President-elect.,https://m.media-amazon.com/images/M/MV5BNTkzMDk5NjUxNV5BMl5BanBnXkFtZTgwMzMwOTMyMjE@._V1_SX300.jpg,
The Old Ways,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Metacritic', 'Value': '67/100'}]",5.4,"8,168",,67.0,"English, Spanish, Nahuatl","Cristina, a journalist of Mexican origin, travels to her ancestral home in Veracruz to investigate a story of sorcery and healing. There, she is kidnapped by a group of locals who claim she's the devil incarnated.",https://m.media-amazon.com/images/M/MV5BMWUyNzIzOTQtY2JhOS00NzhlLWE3OTAtNjY4YTQzZjc5MzZjXkEyXkFqcGc@._V1_SX300.jpg,
The River Runner,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",6.9,"2,116",,,English,"In this documentary, a kayaker sets out to become the first man to paddle the four great rivers that flow from Tibet's sacred Mount Kailash.",https://m.media-amazon.com/images/M/MV5BMGE3ODQ1YTAtNGFhNC00NGVjLWI0NDMtMjllODRkYmY0NzQ5XkEyXkFqcGc@._V1_SX300.jpg,
The Water Man,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",,,,,English,"In this documentary, a kayaker sets out to become the first man to paddle the four great rivers that flow from Tibet's sacred Mount Kailash.",https://m.media-amazon.com/images/M/MV5BMGE3ODQ1YTAtNGFhNC00NGVjLWI0NDMtMjllODRkYmY0NzQ5XkEyXkFqcGc@._V1_SX300.jpg,
Wheel of Fortune,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",,,,,English,"In this documentary, a kayaker sets out to become the first man to paddle the four great rivers that flow from Tibet's sacred Mount Kailash.",https://m.media-amazon.com/images/M/MV5BMGE3ODQ1YTAtNGFhNC00NGVjLWI0NDMtMjllODRkYmY0NzQ5XkEyXkFqcGc@._V1_SX300.jpg,
Count Me In,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",6.8,"2,371",,,English,You can have rhythm without music but you can't have music without rhythm.,https://m.media-amazon.com/images/M/MV5BODRhMzY0YzAtZTUzOS00Yzc1LTg3MGYtNTk5YWU0NTU3YjcyXkEyXkFqcGc@._V1_SX300.jpg,
Oggy Oggy,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",,,,,English,You can have rhythm without music but you can't have music without rhythm.,https://m.media-amazon.com/images/M/MV5BODRhMzY0YzAtZTUzOS00Yzc1LTg3MGYtNTk5YWU0NTU3YjcyXkEyXkFqcGc@._V1_SX300.jpg,
Untold: Caitlyn Jenner,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",6.5,"2,981",,,English,"After a failed attempt in 1972, Caitlyn Jenner made it her mission to win decathlon gold in Montreal in 1976.",https://m.media-amazon.com/images/M/MV5BZmQ3ZDQ0NzItNTI5MC00N2UyLTljMmMtYjYzOWI4Y2Q0M2RkXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,
Boomika,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",5.0,"2,738",,,Tamil,"Paranormal activity at a lush, abandoned property alarm a group eager to redevelop the site, but the eerie events may not be as unearthly as they think.",https://m.media-amazon.com/images/M/MV5BZmE3Y2Y4YWQtYmQxNy00OGRlLTg2MDgtYmM4YzBlZDk4ZjlmXkEyXkFqcGc@._V1_SX300.jpg,
Boomika (Hindi),"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",,,,,Tamil,"Paranormal activity at a lush, abandoned property alarm a group eager to redevelop the site, but the eerie events may not be as unearthly as they think.",https://m.media-amazon.com/images/M/MV5BZmE3Y2Y4YWQtYmQxNy00OGRlLTg2MDgtYmM4YzBlZDk4ZjlmXkEyXkFqcGc@._V1_SX300.jpg,
Boomika (Malayalam),"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",,,,,Tamil,"Paranormal activity at a lush, abandoned property alarm a group eager to redevelop the site, but the eerie events may not be as unearthly as they think.",https://m.media-amazon.com/images/M/MV5BZmE3Y2Y4YWQtYmQxNy00OGRlLTg2MDgtYmM4YzBlZDk4ZjlmXkEyXkFqcGc@._V1_SX300.jpg,
Boomika (Telugu),"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",,,,,Tamil,"Paranormal activity at a lush, abandoned property alarm a group eager to redevelop the site, but the eerie events may not be as unearthly as they think.",https://m.media-amazon.com/images/M/MV5BZmE3Y2Y4YWQtYmQxNy00OGRlLTg2MDgtYmM4YzBlZDk4ZjlmXkEyXkFqcGc@._V1_SX300.jpg,
The Witcher: Nightmare of the Wolf,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",7.2,"53,997",,67.0,English,"Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past.",https://m.media-amazon.com/images/M/MV5BODQzNDE4N2ItZDAwMC00YzA3LTkwMTEtZDgyMjE3M2ZiY2NiXkEyXkFqcGc@._V1_SX300.jpg,
Manifest,[],,,,,English,,,
Comedy Premium League,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",4.9,"1,683",,,Hindi,"With satirical sketches, cheeky debates and blistering roasts, 16 of India's wittiest entertainers compete in teams to be named the ultimate comedy champs.",https://m.media-amazon.com/images/M/MV5BNjY0NWI3NzgtM2RhNy00MzUxLTk4MGYtMzg4MmNjMTFlZjE3XkEyXkFqcGc@._V1_SX300.jpg,
Everything Will Be Fine,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",6.3,384,,,Spanish,A separated couple live together for their child's sake in this satirical dramedy about what it means to be a good parent and spouse in today's world.,https://m.media-amazon.com/images/M/MV5BYTc2ODVjZGEtYTE4MS00N2Q1LWI4MjctNmY1ZmZmYzg4YmRmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,
Gunshot,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",6.8,730,,,Arabic,Follows a mysterious murder that connects the destinies of the protagonists and changes their beliefs about the concept of truth.,https://m.media-amazon.com/images/M/MV5BYTcyMTllMGMtZWYwMS00NmFkLWEzZjUtNGU2MGQ3Yjg3MDRlXkEyXkFqcGc@._V1_SX300.jpg,
Korean Cold Noodle Rhapsody,[],,64,,,Korean,"Refreshing and flavorful, naengmyeon is Korea's coolest summertime staple. A journey through its history beings, from how it's cooked to how it's loved.",https://m.media-amazon.com/images/M/MV5BOWM4YWJhZjMtNWEwMS00ZmY4LWJiOGEtNzgxYzFlYmFiZDI4XkEyXkFqcGc@._V1_SX300.jpg,
Man in Love,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",7.1,"4,146",,,"Mandarin, Min Nan",A small-time gangster clumsily attempts to court a girl he has a crush on. Can he win her over and leave the underworld behind?,https://m.media-amazon.com/images/M/MV5BMzY3Zjc5ZTAtZjQ0NS00MzExLTkwOGQtYTMyYTE3Yjc1OGRhXkEyXkFqcGc@._V1_SX300.jpg,
Sweet Girl,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",5.5,"37,054",,46.0,English,A devastated husband vows to bring justice to the people responsible for his wife's death while protecting the only family he has left: his daughter.,https://m.media-amazon.com/images/M/MV5BMmJhZjEzNWEtODdiOC00ZTA2LWE1YmEtMDYxZWI2ZWVkOWVkXkEyXkFqcGc@._V1_SX300.jpg,
The Chair,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",7.2,"19,525",,,English,"At a major university, the first woman of color to become chair tries to meet the dizzying demands and high expectations of a failing English department.",https://m.media-amazon.com/images/M/MV5BNzgxZjk4MDUtZWE4ZS00MTIzLWJmNWQtMjA4MGNkMWM1M2YwXkEyXkFqcGc@._V1_SX300.jpg,
The Loud House Movie,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",6.0,"3,288",,,English,"With his parents and all 10 sisters in tow, Lincoln Loud heads to Scotland and learns that royalty runs in the family in this global musical journey.",https://m.media-amazon.com/images/M/MV5BMzA4NmQ4ZjUtNzEwZS00MTY5LTk2ZmYtMWZhNDdiOTAwYTc5XkEyXkFqcGc@._V1_SX300.jpg,
A Faraway Land,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",,,,,English,"With his parents and all 10 sisters in tow, Lincoln Loud heads to Scotland and learns that royalty runs in the family in this global musical journey.",https://m.media-amazon.com/images/M/MV5BMzA4NmQ4ZjUtNzEwZS00MTY5LTk2ZmYtMWZhNDdiOTAwYTc5XkEyXkFqcGc@._V1_SX300.jpg,
Like Crazy,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",6.6,"64,010",,68.0,English,"A British college student falls for an American student, only to be separated from him when she's banned from the U.S. after overstaying her visa.",https://m.media-amazon.com/images/M/MV5BMjAzOTgyOTU4OF5BMl5BanBnXkFtZTcwNDYxMjcxNg@@._V1_SX300.jpg,
Black Island,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",5.2,"3,495",,,German,The dark secrets of a seemingly peaceful island threaten to swallow up an orphaned student when he grows close to a mysterious new teacher.,https://m.media-amazon.com/images/M/MV5BYzdlZGIxYTEtMGQ2OC00YjhjLWI5OTQtMzFjNjA5Y2FmOGJiXkEyXkFqcGc@._V1_SX300.jpg,
Bombay,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",8.1,"14,020",,,Tamil,"A Hindu man and a Muslim woman fall in love in a small village and move to Mumbai, where they have two children. However, growing religious tensions and erupting riots threaten to tear the family apart.",https://m.media-amazon.com/images/M/MV5BNzkxOGRiMTItMjAyMC00NjRhLWJjODktNWY5YzQwNDYyZmViXkEyXkFqcGc@._V1_SX300.jpg,
Go! Go! Cory Carson,[],,65,,,English,"From arcade games to sled days and hiccup cares, Cory Carson's curious little sister Chrissy speeds off on her own for fun and adventure all over town.",https://m.media-amazon.com/images/M/MV5BZjQxMTQ3M2ItZTNiOS00OGVmLWE5NDUtNmQ4MmVjNTllNDcyXkEyXkFqcGc@._V1_SX300.jpg,
Memories of a Murderer: The Nilsen Tapes,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",6.3,"4,660",,,English,Serial killer Dennis Nilsen narrates his life and horrific crimes via a series of chilling audiotapes recorded from his jail cell.,https://m.media-amazon.com/images/M/MV5BZmVlN2JhMTQtZDUxYi00ODZjLTkyODYtMjQ5ZGFkZmMzZjU4XkEyXkFqcGc@._V1_SX300.jpg,
Nneka The Pretty Serpent,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}]",4.1,179,,,"English, Ibo","When her parents are murdered, Nneka encounters the Queen of the Coast who offers to help her in revealing the identities of people who killed her parents. This changes the course of her life as she sets out on a mission of revenge.",https://m.media-amazon.com/images/M/MV5BZjMxYWQxMzEtZGQ2NC00MDQ3LWIxZWYtNGM4NGVkNWY3ZmVkXkEyXkFqcGc@._V1_SX300.jpg,
O Kadhal Kanmani,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",7.4,"7,403",,,Tamil,"Two young lovers are compatible in every way - they even agree that marriage is futile. However, their emotions are not so easily managed, especially when they witness the unconditional love of the older couple with whom they live.",https://m.media-amazon.com/images/M/MV5BYjM4OTQyYjEtZjE3ZC00NDkzLWE3ZmUtYzEwY2JmOTUxYTI4XkEyXkFqcGc@._V1_SX300.jpg,
Out of my league,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",6.1,"3,287",,,Italian,"Marta may be an orphan, and she may be affected by a lethal illness, yet she is the most positive person one can meet. She wants a boy to fall for her. Not any boy - the most handsome of them all. One day, she may have found her m...",https://m.media-amazon.com/images/M/MV5BYzI1NzI5MGEtMWQyMS00MzNkLThmMzQtMTM0MjM3YTI3OGQ3XkEyXkFqcGc@._V1_SX300.jpg,
Pahuna,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",,,,,Italian,"Marta may be an orphan, and she may be affected by a lethal illness, yet she is the most positive person one can meet. She wants a boy to fall for her. Not any boy - the most handsome of them all. One day, she may have found her m...",https://m.media-amazon.com/images/M/MV5BYzI1NzI5MGEtMWQyMS00MzNkLThmMzQtMTM0MjM3YTI3OGQ3XkEyXkFqcGc@._V1_SX300.jpg,
The Defeated,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",7.1,"8,591",,,"English, German, Russian",Max McLaughlin is an American cop who arrives in Berlin in the summer of 1946 to help create a police force in the chaotic aftermath of the war.,https://m.media-amazon.com/images/M/MV5BZDEzODk5ODItMzE3My00MTBiLWI5ZDgtYmVmY2U4NTVjZWE4XkEyXkFqcGc@._V1_SX300.jpg,
The Secret Diary of an Exchange Student,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",5.4,"1,160",,,"Portuguese, English","Looking to shake things up, two best friends embark on a life-changing adventure abroad as exchange students. But can they stay out of trouble?",https://m.media-amazon.com/images/M/MV5BM2IzODRkOTktNTJkMC00MTE4LWI0NDQtYzlkNWFiOWU0Y2VjXkEyXkFqcGc@._V1_SX300.jpg,
Untold: Deal With the Devil,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",7.3,"2,749",,,English,"Christy Martin broke boundaries and noses as she rose in the boxing world, but her public persona belied personal demons, abuse and a threat on her life.",https://m.media-amazon.com/images/M/MV5BODM5M2FlNDEtYTE2OC00ODM5LTg1NmEtNzI3M2RkNDA1YzRlXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,
Mother Goose Club,[],,,,,English,A preschool Minecraft animal series for kids and babies. Come into the world of Minecraft with Eep and experience his family-friendly adventures.,https://m.media-amazon.com/images/M/MV5BOTMwYWIyZTItNjQxNC00YTgzLWEyNjktZjY0ZjA2MzY4MTFmXkEyXkFqcGdeQXVyNDA5MjMyNDQ@._V1_SX300.jpg,
Walk of Shame,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",6.0,"58,157",,25.0,"English, Hebrew","A reporter's dream of becoming a news anchor is compromised after a one-night stand leaves her stranded in downtown L.A. without a phone, car, ID or money - and only 8 hours to make it to the most important job interview of her life.",https://m.media-amazon.com/images/M/MV5BODg2Mzk0NzU2M15BMl5BanBnXkFtZTgwMjAyNjYxMTE@._V1_SX300.jpg,
Rascal Does Not Dream of Bunny Girl Senpai,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",8.0,"22,473",,,"Japanese, French, German, English","After experiencing ""puberty syndrome"" himself, high school pariah Sakuta keeps meeting girls suffering from it, including his sister and actor Mai.",https://m.media-amazon.com/images/M/MV5BZWRjNWY5YmItZTFkNS00ZjdiLWJiMWMtODFjYzk1NjU2MWU0XkEyXkFqcGc@._V1_SX300.jpg,
The Creative Indians,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",,,,,"Japanese, French, German, English","After experiencing ""puberty syndrome"" himself, high school pariah Sakuta keeps meeting girls suffering from it, including his sister and actor Mai.",https://m.media-amazon.com/images/M/MV5BZWRjNWY5YmItZTFkNS00ZjdiLWJiMWMtODFjYzk1NjU2MWU0XkEyXkFqcGc@._V1_SX300.jpg,
The Piano,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",7.5,"99,214",,89.0,"English, British Sign , Maori","In the mid-19th century a mute woman is sent to New Zealand along with her young daughter and prized piano for an arranged marriage to a farmer, but is soon lusted after by a farm worker.",https://m.media-amazon.com/images/M/MV5BZGZiYTQ0MmEtY2RmYy00ZjRkLWI3NTctYTRhMGJlMzA4ZDg0XkEyXkFqcGc@._V1_SX300.jpg,
Unroyal,[],,21,,,English,"When a rude and arrogant princess finds herself reliant on a humble gatekeeper after a terrible accident, it may be enough to make her change her ways.",https://m.media-amazon.com/images/M/MV5BNWM5ZTY1OTktNDYzYi00ZjA5LTkzNzUtN2FhN2QxNTE2N2Y1XkEyXkFqcGc@._V1_SX300.jpg,
Winx Club,[],,,,,English,"When a rude and arrogant princess finds herself reliant on a humble gatekeeper after a terrible accident, it may be enough to make her change her ways.",https://m.media-amazon.com/images/M/MV5BNWM5ZTY1OTktNDYzYi00ZjA5LTkzNzUtN2FhN2QxNTE2N2Y1XkEyXkFqcGc@._V1_SX300.jpg,
Beckett,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",5.7,"29,879",,52.0,"English, Greek","Following a tragic car accident in Greece, an American tourist finds himself at the center of a dangerous political conspiracy and on the run for his life.",https://m.media-amazon.com/images/M/MV5BYTBiYWNjODktMjdjNi00ODRkLTliZWEtNzRmMWVmYTAxZTRhXkEyXkFqcGc@._V1_SX300.jpg,
Brand New Cherry Flavor,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",7.1,"20,885",,,English,"Lisa Nova, an aspiring film director in the sun-drenched but seamy world of 1990 Los Angeles, embarks on a mind-altering journey of supernatural revenge that gets nightmarishly out of control.",https://m.media-amazon.com/images/M/MV5BNDZjNTJmMmEtZjYwOS00MTYzLTgwYTYtYWJiMDkxNDMzMDAyXkEyXkFqcGc@._V1_SX300.jpg,
Fast & Furious Spy Racers,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",,,,,English,"Lisa Nova, an aspiring film director in the sun-drenched but seamy world of 1990 Los Angeles, embarks on a mind-altering journey of supernatural revenge that gets nightmarishly out of control.",https://m.media-amazon.com/images/M/MV5BNDZjNTJmMmEtZjYwOS00MTYzLTgwYTYtYWJiMDkxNDMzMDAyXkEyXkFqcGc@._V1_SX300.jpg,
Gone for Good,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",6.3,"5,594",,,French,"Guillaume thought he had drawn a line under the terrible tragedy which saw the two people he loved the most die. Ten years later, Judith, whose love has made his life worth living again, suddenly disappears during his mother's fun...",https://m.media-amazon.com/images/M/MV5BMGNkMjUyYmItNGEzYi00NzY2LTk4YTItNDVjZDUxZWExODRmXkEyXkFqcGc@._V1_SX300.jpg,
Grace and Frankie,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",,,,,French,"Guillaume thought he had drawn a line under the terrible tragedy which saw the two people he loved the most die. Ten years later, Judith, whose love has made his life worth living again, suddenly disappears during his mother's fun...",https://m.media-amazon.com/images/M/MV5BMGNkMjUyYmItNGEzYi00NzY2LTk4YTItNDVjZDUxZWExODRmXkEyXkFqcGc@._V1_SX300.jpg,
The Kingdom,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",6.4,"1,868",,,Spanish,"After his running mate's murder, a controversial televangelist becomes Argentina's presidential candidate. But nothing about him is as holy as he seems.",https://m.media-amazon.com/images/M/MV5BYjNjYmRmODYtYWQyNi00NDczLWFiM2QtNjk5NDU0ZTVjZGYyXkEyXkFqcGc@._V1_SX300.jpg,
Valeria,[],,,,,English,Ana meets her sister Valeria every morning at the train station hoping to get closure on unresolved feelings.,https://m.media-amazon.com/images/M/MV5BOWU5ZTU0ZTMtYTM0Zi00YWMwLTg3ZWUtYmFlMWI1MTE2NjY3XkEyXkFqcGdeQXVyMTI5ODYzMzI@._V1_SX300.jpg,
AlRawabi School for Girls,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",7.1,"10,303",,,Arabic,The bullied outcasts at prestigious Al Rawabi School for Girls plot a series of risky takedowns to get back at their tormentors.,https://m.media-amazon.com/images/M/MV5BMjZiMDkyY2EtY2EyMi00ZTE2LTk4YzktMWZhYWMzNjM5ZjAxXkEyXkFqcGc@._V1_SX300.jpg,
Lokillo: Nothing's the Same,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",5.0,64,,,Spanish,"With his very peculiar style, Lokillo Florez speaks that due to the pandemic, everything we were used to has changed.",https://m.media-amazon.com/images/M/MV5BZGY1NWRjNmUtN2MxYy00YTI2LWIxNDgtNTRmNzM3YjM5ZmFkXkEyXkFqcGc@._V1_SX300.jpg,
Monster Hunter: Legends of the Guild,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",5.2,"1,624",,,"English, Japanese, Italian, Portuguese, French, Spanish","In a world where humans and fearsome monsters live in an uneasy balance, young hunter Aiden fights to save his village from destruction by a dragon.",https://m.media-amazon.com/images/M/MV5BNzEzZDk5ZGEtZTI1YS00MzExLWE5MzItNmFjYzczY2Y2ZmMxXkEyXkFqcGc@._V1_SX300.jpg,
Bake Squad,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",6.9,"1,157",,,English,Expert bakers elevate desserts with next-level ideas and epic execution. Now the battle is on to win over clients in need of very special sweets.,https://m.media-amazon.com/images/M/MV5BODgwNjI1NDEtNGJhNi00MDM4LTk4M2MtZTQ5ODhlMjM0NmRjXkEyXkFqcGc@._V1_SX300.jpg,
Brother Jekwu,[],,,,,English,"Chasing wild success, a village hustler follows his cousin from Nigeria to Kenya and stumbles into the shady business affairs of a notorious overlord.",https://m.media-amazon.com/images/M/MV5BNjA5OGYyZjctZjcwYy00ODZmLWExZTAtZDJmMzgzNDM4ZDc0XkEyXkFqcGdeQXVyMjQ1NTU3Nzg@._V1_SX300.jpg,
La diosa del asfalto,[],,,,,English,"Chasing wild success, a village hustler follows his cousin from Nigeria to Kenya and stumbles into the shady business affairs of a notorious overlord.",https://m.media-amazon.com/images/M/MV5BNjA5OGYyZjctZjcwYy00ODZmLWExZTAtZDJmMzgzNDM4ZDc0XkEyXkFqcGdeQXVyMjQ1NTU3Nzg@._V1_SX300.jpg,
Misha and the Wolves,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",6.7,"3,436",,63.0,"English, French","Misha and the Wolves is the dramatic tale of a woman whose holocaust memoir took the world by storm, but a fallout with her publisher - who turned detective - revealed an audacious deception created to hide a darker truth.",https://m.media-amazon.com/images/M/MV5BYmE4Y2VmN2QtMmEyMy00MTNkLTg4NDYtZjkxMWE4ZTNiNDExXkEyXkFqcGc@._V1_SX300.jpg,
The Kissing Booth 3,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",4.8,"25,014",,36.0,English,"It's the summer before Elle Evans is set to head off to college, and she has a big decision to make.",https://m.media-amazon.com/images/M/MV5BNWQyMTJiZWYtNzQ2Mi00Y2E1LThmNzgtNGU0ZjQ3NTg5YWRhXkEyXkFqcGc@._V1_SX300.jpg,
The Railway Man,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",7.1,"43,350",,59.0,"English, Japanese","A former British Army officer, who was tortured as a prisoner of war at a Japanese labor camp during World War II, discovers that the man responsible for much of his treatment is still alive and sets out to confront him.",https://m.media-amazon.com/images/M/MV5BMTQzNDU1NjE0NF5BMl5BanBnXkFtZTgwODA3NDczMDE@._V1_SX300.jpg,
Gabby's Dollhouse,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",7.1,945,,,English,Kitty enthusiast Gabby and her sidekick Pandy Paws team up for a series of animated adventures.,https://m.media-amazon.com/images/M/MV5BYjQ5ZjA1NDQtMmVhOS00ZWUyLWI5ZDktODU4MWUyYTljODkwXkEyXkFqcGc@._V1_SX300.jpg,
I Need Romance,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",7.6,90,,,Thai,"A workaholic who lost interest in romance reunites with an old flame and gifted music composer, who's determined to restore her belief in love.",https://m.media-amazon.com/images/M/MV5BZThmNTU5ZGUtNDM1My00ZjVmLTg2NmMtNmY3ZTMyZjE1N2JhXkEyXkFqcGc@._V1_SX300.jpg,
Las muñecas de la mafia,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",,,,,Thai,"A workaholic who lost interest in romance reunites with an old flame and gifted music composer, who's determined to restore her belief in love.",https://m.media-amazon.com/images/M/MV5BZThmNTU5ZGUtNDM1My00ZjVmLTg2NmMtNmY3ZTMyZjE1N2JhXkEyXkFqcGc@._V1_SX300.jpg,
The Crowned Clown,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",8.0,"1,604",,,Korean,"The story takes place in Joseon period, when power struggles surrounding the throne had reached extreme levels. In order to escape those who plan to assassinate him, the King puts a clown, who looks exactly like him, on the throne.",https://m.media-amazon.com/images/M/MV5BYWI0ZDZhYzYtZTQ3Yi00Y2FiLTk2YmItMDAxYTI4Yzk0NGI3XkEyXkFqcGc@._V1_SX300.jpg,
Untold: Malice at the Palace,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",7.5,"9,658",,,English,"A brawl broke out near the end of a game between the Indiana Pacers and the Detroit Pistons on November 19, 2004. Nearly 17 years later, we re-examine that night and all the consequences that came from it.",https://m.media-amazon.com/images/M/MV5BMTE0N2M2YmYtZWMzOC00OTM3LWIwYzktZjc0YzBhZTA1MGZhXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,
SHAMAN KING,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",6.9,"2,791",,,"Japanese, English","Shaman King follows the adventures of a 13-year-old shaman and his teammate a samurai warrior spirit, who traverse the world fighting evil spirits and misguided shamans on their journey to be the next Shaman King.",https://m.media-amazon.com/images/M/MV5BNjQyMmEzZjgtMmQ4Yy00N2VjLWE2OGMtODllODhlODY1NWExXkEyXkFqcGc@._V1_SX300.jpg,
Quartet,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",6.8,"21,680",,64.0,"English, Italian, Polish, French","At a home for retired musicians, the annual concert to celebrate Composer Giuseppe Verdi's birthday is disrupted by the arrival of Jean (Dame Maggie Smith), an eternal diva and the former wife of one of the residents.",https://m.media-amazon.com/images/M/MV5BMTc2MTI0MzI5Ml5BMl5BanBnXkFtZTcwNzkzNjQ4OA@@._V1_SX300.jpg,
Slay,"[{'Source': 'Internet Movie Database', 'Value': '3.6/10'}]",3.6,121,,,English,"WHAT IS A ""SLAY QUEEN""? Some say these are girls who prey on older, promiscuous men. Girls who want to appear as if they come from a wealthy background when actually they're living in poverty. Some say they are merely attractive g...",https://m.media-amazon.com/images/M/MV5BOGRiYzQzMGMtNTNkNi00MWJmLWI3YjctYWY4ZTU0YzczNGYzXkEyXkFqcGc@._V1_SX300.jpg,
